BEAM 1
RFbucket,Slot,Head-On IP1,Head-On IP2,Head-On IP5,Head-On IP8,Head-On Tot,LR IP1,LR IP2,LR IP5,LR IP8,LR Tot
0,322,0,0,1,0,0,0,0,0,0,0
0,326,0,0,1,0,0,0,0,0,0,0
0,330,0,0,1,0,0,0,0,0,0,0
0,334,0,0,1,0,0,0,0,0,0,0
0,340,0,0,1,0,0,0,0,0,0,0
0,344,0,0,1,0,0,0,0,0,0,0
0,348,0,0,1,0,0,0,0,0,0,0
0,352,0,0,1,0,0,0,0,0,0,0
0,358,0,0,1,0,0,0,0,0,0,0
0,362,0,0,1,0,0,0,0,0,0,0
0,366,0,0,1,0,0,0,0,0,0,0
0,370,0,0,1,0,0,0,0,0,0,0
0,376,0,0,1,0,0,0,0,0,0,0
0,380,0,0,1,0,0,0,0,0,0,0
0,384,0,0,1,0,0,0,0,0,0,0
0,388,0,0,1,0,0,0,0,0,0,0
0,420,0,0,1,0,0,0,0,0,0,0
0,424,0,0,1,0,0,0,0,0,0,0
0,428,0,0,1,0,0,0,0,0,0,0
0,432,0,0,1,0,0,0,0,0,0,0
0,438,0,0,1,0,0,0,0,0,0,0
0,442,0,0,1,0,0,0,0,0,0,0
0,446,0,0,1,0,0,0,0,0,0,0
0,450,0,0,1,0,0,0,0,0,0,0
0,456,0,0,1,0,0,0,0,0,0,0
0,460,0,0,1,0,0,0,0,0,0,0
0,464,0,0,1,0,0,0,0,0,0,0
0,468,0,0,1,0,0,0,0,0,0,0
0,474,0,0,1,0,0,0,0,0,0,0
0,478,0,0,1,0,0,0,0,0,0,0
0,482,0,0,1,0,0,0,0,0,0,0
0,486,0,0,1,0,0,0,0,0,0,0
0,492,0,0,1,0,0,0,0,0,0,0
0,496,0,0,1,0,0,0,0,0,0,0
0,500,0,0,1,0,0,0,0,0,0,0
0,504,0,0,1,0,0,0,0,0,0,0
0,510,0,0,1,0,0,0,0,0,0,0
0,514,0,0,1,0,0,0,0,0,0,0
0,518,0,0,1,0,0,0,0,0,0,0
0,522,0,0,1,0,0,0,0,0,0,0
0,528,0,0,1,0,0,0,0,0,0,0
0,532,0,0,1,0,0,0,0,0,0,0
0,536,0,0,1,0,0,0,0,0,0,0
0,540,0,0,1,0,0,0,0,0,0,0
0,546,0,0,1,0,0,0,0,0,0,0
0,550,0,0,1,0,0,0,0,0,0,0
0,554,0,0,1,0,0,0,0,0,0,0
0,558,0,0,1,0,0,0,0,0,0,0
0,564,0,0,1,0,0,0,0,0,0,0
0,568,0,0,1,0,0,0,0,0,0,0
0,572,0,0,1,0,0,0,0,0,0,0
0,576,0,0,1,0,0,0,0,0,0,0
0,608,0,0,1,0,0,0,0,0,0,0
0,612,0,0,1,0,0,0,0,0,0,0
0,616,0,0,1,0,0,0,0,0,0,0
0,620,0,0,1,0,0,0,0,0,0,0
0,626,0,0,1,0,0,0,0,0,0,0
0,630,0,0,1,0,0,0,0,0,0,0
0,634,0,0,1,0,0,0,0,0,0,0
0,638,0,0,1,0,0,0,0,0,0,0
0,644,0,0,1,0,0,0,0,0,0,0
0,648,0,0,1,0,0,0,0,0,0,0
0,652,0,0,1,0,0,0,0,0,0,0
0,656,0,0,1,0,0,0,0,0,0,0
0,662,0,0,1,0,0,0,0,0,0,0
0,666,0,0,1,0,0,0,0,0,0,0
0,670,0,0,1,0,0,0,0,0,0,0
0,674,0,0,1,0,0,0,0,0,0,0
0,680,0,0,1,0,0,0,0,0,0,0
0,684,0,0,1,0,0,0,0,0,0,0
0,688,0,0,1,0,0,0,0,0,0,0
0,692,0,0,1,0,0,0,0,0,0,0
0,698,0,0,1,0,0,0,0,0,0,0
0,702,0,0,1,0,0,0,0,0,0,0
0,706,0,0,1,0,0,0,0,0,0,0
0,710,0,0,1,0,0,0,0,0,0,0
0,716,0,0,1,0,0,0,0,0,0,0
0,720,0,0,1,0,0,0,0,0,0,0
0,724,0,0,1,0,0,0,0,0,0,0
0,728,0,0,1,0,0,0,0,0,0,0
0,734,0,0,1,0,0,0,0,0,0,0
0,738,0,0,1,0,0,0,0,0,0,0
0,742,0,0,1,0,0,0,0,0,0,0
0,746,0,0,1,0,0,0,0,0,0,0
0,752,0,0,1,0,0,0,0,0,0,0
0,756,0,0,1,0,0,0,0,0,0,0
0,760,0,0,1,0,0,0,0,0,0,0
0,764,0,0,1,0,0,0,0,0,0,0
0,796,0,0,1,0,0,0,0,0,0,0
0,800,0,0,1,0,0,0,0,0,0,0
0,804,0,0,1,0,0,0,0,0,0,0
0,808,0,0,1,0,0,0,0,0,0,0
0,814,0,0,1,0,0,0,0,0,0,0
0,818,0,0,1,0,0,0,0,0,0,0
0,822,0,0,1,0,0,0,0,0,0,0
0,826,0,0,1,0,0,0,0,0,0,0
0,832,0,0,1,0,0,0,0,0,0,0
0,836,0,0,1,0,0,0,0,0,0,0
0,840,0,0,1,0,0,0,0,0,0,0
0,844,0,0,1,0,0,0,0,0,0,0
0,850,0,0,1,0,0,0,0,0,0,0
0,854,0,0,1,0,0,0,0,0,0,0
0,858,0,0,1,0,0,0,0,0,0,0
0,862,0,0,1,0,0,0,0,0,0,0
0,868,0,0,1,0,0,0,0,0,0,0
0,872,0,0,1,0,0,0,0,0,0,0
0,876,0,0,1,0,0,0,0,0,0,0
0,880,0,0,1,0,0,0,0,0,0,0
0,886,0,0,1,0,0,0,0,0,0,0
0,890,0,0,1,0,0,0,0,0,0,0
0,894,0,0,1,0,0,0,0,0,0,0
0,898,0,0,1,0,0,0,0,0,0,0
0,935,0,0,1,0,0,0,0,0,0,0
0,939,0,0,1,0,0,0,0,0,0,0
0,943,0,0,1,0,0,0,0,0,0,0
0,947,0,0,1,0,0,0,0,0,0,0
0,953,0,0,1,0,0,0,0,0,0,0
0,957,0,0,1,0,0,0,0,0,0,0
0,961,0,0,1,0,0,0,0,0,0,0
0,965,0,0,1,0,0,0,0,0,0,0
0,971,0,0,1,0,0,0,0,0,0,0
0,975,0,0,1,0,0,0,0,0,0,0
0,979,0,0,1,0,0,0,0,0,0,0
0,983,0,0,1,0,0,0,0,0,0,0
0,989,0,0,1,0,0,0,0,0,0,0
0,993,0,0,1,0,0,0,0,0,0,0
0,997,0,0,1,0,0,0,0,0,0,0
0,1001,0,0,1,0,0,0,0,0,0,0
0,1007,0,0,1,0,0,0,0,0,0,0
0,1011,0,0,1,0,0,0,0,0,0,0
0,1015,0,0,1,0,0,0,0,0,0,0
